#{"game": "switch", "game_nagents": 3, "game_action_space": 2, "game_comm_limited": true, "game_comm_bits": 1, "game_comm_sigma": 1000, "nsteps": 6, "gamma": 1, "model_dial": true, "model_target": true, "model_bn": true, "model_know_share": true, "model_action_aware": true, "model_rnn_size": 128, "bs": 32, "learningrate": 0.0005, "momentum": 0.05, "eps": 0.05, "nepisodes": 5001, "step_test": 10, "step_target": 100, "cuda": 0, "model_rnn_layers": 2, "model_avg_q": true, "eps_decay": 1.0, "comm_enabled": true, "model_comm_narrow": true, "game_action_space_total": 3, "game_reward_shift": 0}
episode,reward
0,0.2083333283662796
10,-1.185185194015503
20,0.22727273404598236
30,0.52173912525177
40,-0.7599999904632568
50,0.0
60,-0.4399999976158142
70,0.27272728085517883
80,0.2083333283662796
90,-0.6153846383094788
100,-0.375
110,0.1304347813129425
120,1.0
130,0.20000000298023224
140,-0.1538461595773697
150,-0.17391304671764374
160,-1.0952380895614624
170,-0.5833333134651184
180,-0.23076923191547394
190,-0.3214285671710968
200,0.1304347813129425
210,-0.20000000298023224
220,1.0
230,-0.07999999821186066
240,0.27272728085517883
250,0.42307692766189575
260,0.6499999761581421
270,0.5909090638160706
280,-0.03999999910593033
290,-0.2916666567325592
300,0.2380952388048172
310,-0.5600000023841858
320,0.5
330,-0.550000011920929
340,0.260869562625885
350,-0.3636363744735718
360,0.0
370,0.5555555820465088
380,-0.6000000238418579
390,0.6153846383094788
400,0.5
410,-0.25
420,0.5185185074806213
430,0.2380952388048172
440,-0.40909090638160706
450,1.0
460,-0.3181818127632141
470,0.3333333432674408
480,0.1666666716337204
490,-0.4761904776096344
500,-0.13636364042758942
510,0.800000011920929
520,0.26923078298568726
530,0.6363636255264282
540,0.800000011920929
550,-0.5
560,0.0833333358168602
570,0.5714285969734192
580,-0.25
590,0.7692307829856873
600,1.0
610,-0.6086956262588501
620,0.5555555820465088
630,0.875
640,0.7307692170143127
650,0.4285714328289032
660,0.5454545617103577
670,1.0
680,1.0
690,1.0
700,1.0
710,0.5199999809265137
720,0.8695651888847351
730,1.0
740,1.0
750,0.23076923191547394
760,0.9523809552192688
770,0.7916666865348816
780,0.6521739363670349
790,1.0
800,0.5925925970077515
810,0.5833333134651184
820,0.8846153616905212
830,1.0
840,0.6000000238418579
850,0.6800000071525574
860,0.4166666567325592
870,0.807692289352417
880,1.0
890,1.0
900,1.0
910,1.0
920,1.0
930,1.0
940,1.0
950,1.0
960,0.6190476417541504
970,1.0
980,1.0
990,1.0
1000,1.0
1010,0.625
1020,1.0
1030,0.9166666865348816
1040,0.4285714328289032
1050,0.875
1060,0.21739129722118378
1070,0.6086956262588501
1080,0.625
1090,0.6000000238418579
1100,0.19230769574642181
1110,0.40909090638160706
1120,0.625
1130,0.260869562625885
1140,0.9130434989929199
1150,0.3478260934352875
1160,0.47826087474823
1170,1.0
1180,0.52173912525177
1190,0.9090909361839294
1200,1.0
1210,1.0
1220,1.0
1230,1.0
1240,1.0
1250,1.0
1260,0.807692289352417
1270,-0.21739129722118378
1280,1.0
1290,1.0
1300,1.0
1310,1.0
1320,1.0
1330,1.0
1340,1.0
1350,1.0
1360,1.0
1370,0.8333333134651184
1380,1.0
1390,1.0
1400,1.0
1410,0.1818181872367859
1420,1.0
1430,0.9090909361839294
1440,1.0
1450,1.0
1460,0.4761904776096344
1470,1.0
1480,0.9166666865348816
1490,1.0
1500,1.0
1510,1.0
1520,1.0
1530,1.0
1540,1.0
1550,1.0
1560,1.0
1570,0.5833333134651184
1580,1.0
1590,1.0
1600,0.692307710647583
1610,1.0
1620,1.0
1630,1.0
1640,1.0
1650,1.0
1660,1.0
1670,1.0
1680,1.0
1690,1.0
1700,0.9629629850387573
1710,1.0
1720,1.0
1730,1.0
1740,1.0
1750,1.0
1760,1.0
1770,1.0
1780,1.0
1790,1.0
1800,1.0
1810,0.9166666865348816
1820,0.17391304671764374
1830,0.800000011920929
1840,1.0
1850,1.0
1860,1.0
1870,1.0
1880,1.0
1890,0.17391304671764374
1900,0.8846153616905212
1910,1.0
1920,1.0
1930,1.0
1940,1.0
1950,1.0
1960,0.7894737124443054
1970,1.0
1980,1.0
1990,1.0
2000,0.5652173757553101
2010,1.0
2020,1.0
2030,1.0
2040,1.0
2050,1.0
2060,1.0
2070,1.0
2080,1.0
2090,0.7037037014961243
2100,1.0
2110,1.0
2120,1.0
2130,1.0
2140,1.0
2150,1.0
2160,1.0
2170,1.0
2180,1.0
2190,1.0
2200,1.0
2210,1.0
2220,1.0
2230,1.0
2240,1.0
2250,0.9599999785423279
2260,1.0
2270,0.15000000596046448
2280,1.0
